level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1489	2105	-1	
2	1	1	0	0	0	368	19	103	24	-1	
3	1	1	1	0	0	368	19	103	24	-1	
4	1	1	1	1	0	368	19	103	24	-1	
5	1	1	1	1	1	368	19	103	24	0.000000	|
2	1	2	0	0	0	1024	19	103	23	-1	
3	1	2	1	0	0	1024	19	103	23	-1	
4	1	2	1	1	0	1024	19	103	23	-1	
5	1	2	1	1	1	1024	19	103	23	52.019730	——=|
2	1	3	0	0	0	613	23	263	27	-1	
3	1	3	1	0	0	613	23	263	27	-1	
4	1	3	1	1	0	613	23	263	27	-1	
5	1	3	1	1	1	613	23	136	27	96.403984	PERFECT
5	1	3	1	1	2	758	23	118	27	96.607765	WOMEN
2	1	4	0	0	0	1025	48	102	21	-1	
3	1	4	1	0	0	1025	48	102	21	-1	
4	1	4	1	1	0	1025	48	102	21	-1	
5	1	4	1	1	1	1025	48	102	21	26.881218	Le
2	1	5	0	0	0	574	158	57	17	-1	
3	1	5	1	0	0	574	158	57	17	-1	
4	1	5	1	1	0	574	158	57	17	-1	
5	1	5	1	1	1	574	158	14	17	23.898247	>
5	1	5	1	1	2	617	158	14	17	54.972588	J
2	1	6	0	0	0	797	157	61	38	-1	
3	1	6	1	0	0	797	157	61	38	-1	
4	1	6	1	1	0	797	157	61	38	-1	
5	1	6	1	1	1	797	157	61	38	64.413734	OU
2	1	7	0	0	0	347	221	114	14	-1	
3	1	7	1	0	0	347	221	114	14	-1	
4	1	7	1	1	0	347	221	114	14	-1	
5	1	7	1	1	1	347	221	17	14	93.383987	12
5	1	7	1	1	2	370	221	42	14	92.331024	REPS
5	1	7	1	1	3	420	224	2	8	92.331024	/
5	1	7	1	1	4	431	221	30	14	96.793671	SET
2	1	8	0	0	0	512	215	489	31	-1	
3	1	8	1	0	0	512	215	489	31	-1	
4	1	8	1	1	0	512	215	489	31	-1	
5	1	8	1	1	1	512	222	21	24	73.299202	iy
5	1	8	1	1	2	543	216	13	23	78.488770	2
5	1	8	1	1	3	568	224	7	7	31.751892	+
5	1	8	1	1	4	586	215	66	29	96.325874	back,
5	1	8	1	1	5	663	215	75	30	96.855865	chest,
5	1	8	1	1	6	750	215	124	24	96.815819	shoulders
5	1	8	1	1	7	886	215	42	24	96.352806	and
5	1	8	1	1	8	940	222	61	17	96.807060	arms
2	1	9	0	0	0	612	265	5	4	-1	
3	1	9	1	0	0	612	265	5	4	-1	
4	1	9	1	1	0	612	265	5	4	-1	
5	1	9	1	1	1	612	265	5	4	77.056023	=
2	1	10	0	0	0	309	264	177	24	-1	
3	1	10	1	0	0	309	264	177	24	-1	
4	1	10	1	1	0	309	264	177	24	-1	
5	1	10	1	1	1	309	264	95	24	46.596035	“SETS
5	1	10	1	1	2	358	251	14	53	55.949493	BY
5	1	10	1	1	3	380	251	39	53	63.008522	WEEK:
5	1	10	1	1	4	423	267	29	21	63.008522	WEEK
