level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1489	2105	-1	
2	1	1	0	0	0	366	34	116	21	-1	
3	1	1	1	0	0	366	34	116	21	-1	
4	1	1	1	1	0	366	34	116	21	-1	
5	1	1	1	1	1	366	34	116	21	14.092751	pt
2	1	2	0	0	0	1008	34	116	22	-1	
3	1	2	1	0	0	1008	34	116	22	-1	
4	1	2	1	1	0	1008	34	116	22	-1	
5	1	2	1	1	1	1008	34	116	22	26.013695	EE
2	1	3	0	0	0	367	59	114	20	-1	
3	1	3	1	0	0	367	59	114	20	-1	
4	1	3	1	1	0	367	59	114	20	-1	
5	1	3	1	1	1	367	59	114	20	11.108780	[|
2	1	4	0	0	0	572	39	344	36	-1	
3	1	4	1	0	0	572	39	344	36	-1	
4	1	4	1	1	0	572	39	344	36	-1	
5	1	4	1	1	1	572	39	178	36	96.488091	PERFECT
5	1	4	1	1	2	762	39	154	36	96.683159	WOMEN
2	1	5	0	0	0	1009	59	114	20	-1	
3	1	5	1	0	0	1009	59	114	20	-1	
4	1	5	1	1	0	1009	59	114	20	-1	
5	1	5	1	1	1	1009	59	114	20	40.165920	|
2	1	6	0	0	0	575	90	339	60	-1	
3	1	6	1	0	0	575	90	339	60	-1	
4	1	6	1	1	0	575	90	339	60	-1	
5	1	6	1	1	1	575	90	339	60	18.346169	(aoe
2	1	7	0	0	0	454	184	584	46	-1	
3	1	7	1	0	0	454	184	584	46	-1	
4	1	7	1	1	0	454	184	584	46	-1	
5	1	7	1	1	1	454	184	176	46	96.890701	LOWER
5	1	7	1	1	2	649	184	138	46	93.282379	BODY
5	1	7	1	1	3	807	185	29	45	91.811470	B
5	1	7	1	1	4	855	193	26	33	95.546066	+
5	1	7	1	1	5	900	184	138	46	95.546066	CORE
2	1	8	0	0	0	951	365	222	18	-1	
3	1	8	1	0	0	951	365	222	18	-1	
4	1	8	1	1	0	951	365	222	18	-1	
5	1	8	1	1	1	951	365	38	18	96.983269	LOG
5	1	8	1	1	2	994	365	39	18	96.801323	THE
5	1	8	1	1	3	1038	365	79	18	96.801323	WEIGHT
5	1	8	1	1	4	1123	365	50	18	96.798904	USED
2	1	9	0	0	0	77	345	652	59	-1	
3	1	9	1	0	0	77	345	652	59	-1	
4	1	9	1	1	0	77	345	652	59	-1	
5	1	9	1	1	1	77	313	282	118	34.376343	=e
5	1	9	1	1	2	417	313	178	118	48.394524	Gx
2	1	10	0	0	0	107	460	350	22	-1	
3	1	10	1	0	0	107	460	350	22	-1	
4	1	10	1	1	0	107	460	350	22	-1	
5	1	10	1	1	1	107	460	57	22	96.815811	HOW
5	1	10	1	1	2	172	460	72	22	96.815811	MANY
5	1	10	1	1	3	254	460	61	22	96.306999	SETS
5	1	10	1	1	4	321	460	52	22	96.506714	AND
5	1	10	1	1	5	382	460	75	22	95.377556	REPS?
2	1	11	0	0	0	106	499	100	18	-1	
3	1	11	1	0	0	106	499	100	18	-1	
4	1	11	1	1	0	106	499	100	18	-1	
5	1	11	1	1	1	106	499	59	18	96.824837	Weeks
5	1	11	1	1	2	172	499	34	18	96.223854	1-2:
2	1	12	0	0	0	254	498	205	19	-1	
3	1	12	1	0	0	254	498	205	19	-1	
4	1	12	1	1	0	254	498	205	19	-1	
5	1	12	1	1	1	254	499	10	18	91.160858	2
5	1	12	1	1	2	272	501	34	16	91.160858	sets
5	1	12	1	1	3	314	498	16	19	96.519325	of
5	1	12	1	1	4	338	498	39	19	96.490250	each
5	1	12	1	1	5	386	499	73	18	96.634445	exercise
2	1	13	0	0	0	904	481	378	20	-1	
3	1	13	1	0	0	904	481	378	20	-1	
4	1	13	1	1	0	904	481	378	20	-1	
5	1	13	1	1	1	904	481	28	16	96.285820	The
5	1	13	1	1	2	937	485	24	16	96.285820	rep
5	1	13	1	1	3	967	485	42	16	96.958481	range
5	1	13	1	1	4	1015	481	49	16	96.937691	shown
5	1	13	1	1	5	1070	482	34	15	96.910782	next
5	1	13	1	1	6	1109	482	13	15	95.578552	to
5	1	13	1	1	7	1128	481	37	16	95.578552	each
5	1	13	1	1	8	1171	481	63	16	95.160194	exercise
